ItemName,ItemId,vol.,jita_buy,jita_buy_taxes,jita_buy_total,jita_sell,unit_delivery,ual_sell,ual_sell_taxed,ual_wkly_vol,ual_listed_vol,ual_mrkt_rate,ual_avg_daily,money_freeze_buy,freeze_rate,PROFIT_jitabuy,money_freeze_sell,PROFIT_jitasell,GoodToBuy(jitabuy)
Focused Void Bomb,34264,75.0000,"2,361,000","35,415","2,396,415","2,749,000","90,000","2,900,000","2,737,600",325,3403,10.47,14.3,"34,384,131",0.10,"3,604,041","39,443,075","-1,454,903",Pass
Cap Booster 3200,41489,128.0000,"10,810",162,"10,972","13,470","153,600","12,000","11,328",171316.1,140330,0.82,27041.1,"296,698,740",-13.97,"-4,143,886,681","364,243,291","-4,211,431,233",Pass
Cap Booster 800,11289,32.0000,"7,838",118,"7,956","9,533","38,400","14,460","13,650",3102.4,30300,9.77,141.8,"1,128,233",-4.11,"-4,638,162","1,351,938","-4,861,867",Pass
Navy Cap Booster 150,31990,4.5000,"36,150",542,"36,692","41,460","5,400","62,000","58,528",6286.5,22674,3.61,472.9,"17,351,044",0.45,"7,772,143","19,605,619","5,517,568",Pass
Navy Cap Booster 200,31998,6.0000,"35,490",532,"36,022","49,980","7,200","87,980","83,053",2468.7,2054,0.83,386.6,"13,927,599",1.11,"15,400,078","19,324,153","10,003,524",Pass
Navy Cap Booster 3200,41490,96.0000,"742,200","11,133","753,333","780,800","115,200","957,000","903,408",19256.8,16964,0.88,2931.0,"2,208,009,818",0.05,"102,218,199","2,288,515,259","21,712,757",Pass
Navy Cap Booster 400,32006,12.0000,"96,370","1,446","97,816","101,900","14,400","125,800","118,755",18499.6,13566,0.73,3086.2,"301,875,218",0.07,"20,182,458","314,480,517","7,577,160",Pass
Navy Cap Booster 50,33332,1.5000,"10,670",160,"10,830","13,100","1,800","18,400","17,370",5194.2,54123,10.42,229.9,"2,489,542",0.44,"1,089,497","3,011,344","567,696",Pass
Navy Cap Booster 800,32014,24.0000,"183,300","2,750","186,050","200,600","28,800","148,600","140,278",22055.6,43228,1.96,2250.6,"418,722,416",-0.40,"-167,829,482","451,469,725","-200,576,791",Pass
Armor Energizing Charge,42832,0.0100,485,7,492,705,12,704,665,162706.8,944224,5.80,9648.8,"4,751,818",0.33,"1,544,752","6,802,399","-505,828",Pass
