ItemName,ItemId,vol.,jita_buy,jita_buy_taxes,jita_buy_total,jita_sell,unit_delivery,ual_sell_taxed,ual_sell_taxed,ual_wkly_vol,ual_listed_vol,ual_mrkt_rate,ual_avg_daily,money_freeze_buy,freeze_rate,PROFIT_jitabuy,money_freeze_sell,PROFIT_jitasell,GoodToBuy(jitabuy)
Gecko,33681,50,"208,800,000","3,132,000","211,932,000","242,700,000",60000,"230,000,000","217,120,000",19.1,54,2.83,1.6,"343,915,435",0.02,"8,321,529","393,844,611","-41,607,647",Pass
Berserker II,2478,25,"1,453,000","21,795","1,474,795","1,525,000",30000,"1,694,000","1,599,136",7121.8,6475,0.91,1067.0,"1,573,614,650",0.06,"100,662,383","1,627,183,670","47,093,363",Pass
Ogre II,2446,25,"1,421,000","21,315","1,442,315","1,515,000",30000,"1,434,000","1,353,696",386.2,493,1.28,48.8,"70,429,892",-0.08,"-5,792,302","73,979,184","-9,341,593",Pass
Praetor II,2195,25,"1,527,000","22,905","1,549,905","1,701,000",30000,"1,394,000","1,315,936",1360.1,1637,1.20,177.1,"274,497,858",-0.17,"-46,750,559","301,257,727","-73,510,427",Pass
Wasp II,2436,25,"1,484,000","22,260","1,506,260","1,541,000",30000,"1,417,000","1,337,648",1596,3299,2.07,158.6,"238,869,156",-0.13,"-31,496,741","244,378,374","-37,005,959",Pass
'Integrated' Praetor,28290,25,"488,000","7,320","495,320","964,400",30000,"1,972,000","1,861,568",13.8,18,1.30,1.7,"855,008",2.70,"2,306,595","1,664,721","1,496,882",Pass
Caldari Navy Wasp,31876,25,"2,024,000","30,360","2,054,360","2,164,000",30000,"2,929,000","2,764,976",219.3,271,1.24,28.2,"57,896,434",0.33,"19,181,273","60,986,333","16,091,374",Pass
Federation Navy Ogre,31884,25,"1,961,000","29,415","1,990,415","2,162,000",30000,"9,995,000","9,435,280",33.1,40,1.21,4.3,"8,561,652",3.73,"31,894,603","9,299,715","31,156,540",Pass
Imperial Navy Praetor,31870,25,"1,778,000","26,670","1,804,670","2,053,000",30000,"2,226,000","2,101,344",251.5,1264,5.03,16.0,"28,922,325",0.15,"4,273,819","32,902,156","293,988",Pass
Republic Fleet Berserker,31892,25,"1,983,000","29,745","2,012,745","2,270,000",30000,"2,780,000","2,624,320",1427.5,987,0.69,245.2,"493,624,055",0.29,"142,630,790","556,715,632","79,539,213",Pass
