ItemName,ItemId,vol.,jita_buy,jita_buy_taxes,jita_buy_total,jita_sell,unit_delivery,ual_sell_taxed,ual_sell_taxed,ual_wkly_vol,ual_listed_vol,ual_mrkt_rate,ual_avg_daily,money_freeze_buy,freeze_rate,PROFIT_jitabuy,money_freeze_sell,PROFIT_jitasell,GoodToBuy(jitabuy),GoodToBuy)jitasell)
Antipharmakon Aeolis,36912,1,"29,220,000","438,300","29,658,300","36,350,000",1200,"45,000,000","42,480,000",15.9,13,0.82,2.5,"74,502,736",0.43,"32,205,566","91,312,532","15,395,770",Pass,
Antipharmakon Iokira,36910,1,"20,650,000","309,750","20,959,750","23,900,000",1200,"34,810,000","32,860,640",13.5,27,2.00,1.4,"28,582,935",0.57,"16,227,678","32,592,572","12,218,042",Pass,
Strong Blue Pill Booster,10156,1,"20,320,000","304,800","20,624,800","20,880,000",1200,"24,240,000","22,882,560",95.9,93,0.97,13.9,"286,931,443",0.11,"31,393,178","290,481,776","27,842,845",Pass,
Synth Blue Pill Booster,28670,1,"2,003,000","30,045","2,033,045","2,191,000",1200,"3,239,000","3,057,616",200,445,2.23,19.2,"38,941,613",0.50,"19,601,985","41,967,135","16,576,463",Pass,
Standard Blue Pill Booster,9950,1,"1,855,000","27,825","1,882,825","1,995,000",1200,"2,653,000","2,504,432",380.3,763,2.01,38.4,"72,216,949",0.33,"23,796,105","76,519,492","19,493,561",Pass,
Synth Exile Booster,28676,1,"1,727,000","25,905","1,752,905","1,924,000",1200,"2,583,000","2,438,352",66.5,691,10.39,2.9,"5,165,993",0.39,"2,016,547","5,670,227","1,512,312",Pass,
Standard Exile Booster,15479,1,"1,142,000","17,130","1,159,130","1,277,000",1200,"1,533,000","1,447,152",145.6,242,1.66,16.1,"18,701,157",0.25,"4,627,525","20,602,847","2,725,836",Pass,
Standard Mindflood Booster,15463,1,"3,046,000","45,690","3,091,690","3,980,000",1200,"4,117,000","3,886,448",486.5,193,0.40,110.3,"341,148,537",0.26,"87,564,132","439,167,956","-10,455,287",Buy,
Improved Mindflood Booster,15464,1,"10,630,000","159,450","10,789,450","12,600,000",1200,"11,000,000","10,384,000",135.3,36,0.27,37.5,"404,293,456",-0.04,"-15,237,657","472,136,906","-83,081,107",Pass,
Synth Mindflood Booster,28680,1,"2,553,000","38,295","2,591,295","2,850,000",1200,"2,823,000","2,664,912",377.3,759,2.01,38.0,"98,475,487",0.03,"2,752,021","108,306,904","-7,079,395",Pass,
Quafe Zero Classic,3898,1,"29,360,000","440,400","29,800,400","31,120,000",1200,"28,500,000","26,904,000",65.8,133,2.02,6.6,"197,032,140",-0.10,"-19,158,143","205,756,976","-27,882,979",Pass,
Synth X-Instinct Booster,28682,1,"1,790,000","26,850","1,816,850","1,987,000",1200,"2,487,000","2,347,728",110.6,501,4.53,7.4,"13,487,606",0.29,"3,932,129","14,750,735","2,669,000",Pass,
Agency 'Overclocker' SB3 Dose I,46004,1,"136,500","2,048","138,548","152,000",1200,"259,000","244,496",503.8,570,1.13,67.7,"9,374,551",0.76,"7,087,606","10,284,788","6,177,369",Pass,
Agency 'Overclocker' SB5 Dose II,46005,1,"2,423,000","36,345","2,459,345","2,699,000",1200,"3,096,000","2,922,624",506.1,309,0.61,92.5,"227,560,397",0.19,"42,755,645","249,735,402","20,580,640",Pass,
Agency 'Overclocker' SB7 Dose III,46006,1,"15,830,000","237,450","16,067,450","17,270,000",1200,"17,850,000","16,850,400",116.2,111,0.96,17.0,"272,895,654",0.05,"13,277,538","293,320,219","-7,147,027",Pass,
Agency 'Overclocker' SB9 Dose IV,48114,1,"33,390,000","500,850","33,890,850","36,040,000",1200,"39,960,000","37,722,240",43.6,58,1.33,5.4,"183,020,677",0.11,"20,684,166","194,626,727","9,078,116",Pass,
