ItemName,ItemId,vol.,jita_buy,jita_buy_taxes,jita_buy_total,jita_sell,unit_delivery,ual_sell_taxed,ual_sell_taxed,ual_wkly_vol,ual_listed_vol,ual_mrkt_rate,ual_avg_daily,money_freeze_buy,freeze_rate,PROFIT_jitabuy,money_freeze_sell,PROFIT_jitasell,GoodToBuy(jitabuy)
Datacore - Amarrian Starship Engineering,20421,0.10,"84,560","1,268","85,828","92,960",120,"67,990","64,183",1810,18316,10.12,81.3,"6,976,467",-0.25,"-1,769,212","7,556,151","-2,348,896",Pass
Datacore - Caldari Starship Engineering,25887,0.10,"84,600","1,269","85,869","92,830",120,"103,800","97,987",2540.8,12619,4.97,162.9,"13,985,617",0.14,"1,954,165","15,119,365","820,417",Pass
Datacore - Electromagnetic Physics,20417,0.10,"76,660","1,150","77,810","85,000",120,"88,600","83,638",1670,26599,15.93,59.8,"4,651,348",0.07,"341,245","5,081,161","-88,568",Pass
Datacore - Electronic Engineering,20418,0.10,"82,840","1,243","84,083","94,940",120,"114,900","108,466",12500.4,37542,3.00,1030.5,"86,643,354",0.29,"25,001,935","97,831,418","13,813,870",Pass
Datacore - Gallentean Starship Engineering,20410,0.10,"82,840","1,243","84,083","89,920",120,"104,000","98,176",3239.4,8095,2.50,292.7,"24,614,813",0.17,"4,090,652","26,323,686","2,381,778",Pass
Datacore - Graviton Physics,20419,0.10,"90,010","1,350","91,360","112,700",120,"118,100","111,486",10706.7,6312,0.59,1992.1,"181,994,691",0.22,"39,853,605","224,504,904","-2,656,608",Pass
Datacore - High Energy Physics,20411,0.10,"98,090","1,471","99,561","102,000",120,"117,800","111,203",10618.3,3146,0.30,2786.8,"277,457,114",0.12,"32,109,039","284,253,133","25,313,020",Buy
Datacore - Hydromagnetic Physics,20171,0.10,"94,040","1,411","95,451","99,160",120,"107,400","101,386",3221.4,5149,1.60,364.0,"34,744,507",0.06,"2,116,690","36,094,748","766,449",Pass
Datacore - Laser Physics,20413,0.10,"98,680","1,480","100,160","110,000",120,"115,900","109,410",7977.2,17174,2.15,776.7,"77,792,394",0.09,"7,090,620","85,434,766","-551,753",Pass
Datacore - Mechanical Engineering,20424,0.10,"33,050",496,"33,546","37,430",120,"39,980","37,741",12392.3,29198,2.36,1153.3,"38,689,293",0.12,"4,700,243","43,169,112","220,424",Pass
Datacore - Minmatar Starship Engineering,20172,0.10,"76,900","1,154","78,054","81,180",120,"84,990","80,231",7245.5,10285,1.42,868.8,"67,810,155",0.03,"1,787,102","70,526,349","-929,092",Pass
Datacore - Molecular Engineering,20415,0.10,"90,740","1,361","92,101","99,390",120,"107,700","101,669",6996,16126,2.31,658.3,"60,628,685",0.10,"6,219,270","65,426,852","1,421,104",Pass
Datacore - Nanite Engineering,20416,0.10,"94,120","1,412","95,532","99,500",120,"89,640","84,620",4839.8,6907,1.43,578.8,"55,289,965",-0.12,"-6,384,670","57,586,600","-8,681,304",Pass
Datacore - Nuclear Physics,20423,0.10,"89,050","1,336","90,386","107,600",120,"82,110","77,512",7475.3,9513,1.27,946.6,"85,563,022",-0.14,"-12,300,592","101,858,769","-28,596,338",Pass
Datacore - Plasma Physics,20412,0.10,"80,530","1,208","81,738","84,940",120,"99,670","94,088",2460,22879,9.30,115.2,"9,419,109",0.15,"1,409,391","9,788,099","1,040,401",Pass
Datacore - Quantum Physics,20414,0.10,"75,270","1,129","76,399","95,860",120,"113,900","107,522",5681.7,9921,1.75,614.2,"46,927,740",0.41,"19,043,164","58,881,533","7,089,371",Pass
Datacore - Rocket Science,20420,0.10,"74,070","1,111","75,181","86,120",120,"89,900","84,866",4437.1,18624,4.20,309.4,"23,260,695",0.13,"2,959,231","26,645,160","-425,233",Pass
Accelerant Decryptor,34201,0.10,"337,900","5,069","342,969","385,500",120,"350,000","330,400",1098.8,2216,2.02,110.5,"37,909,608",-0.04,"-1,402,508","42,610,776","-6,103,676",Pass
Attainment Decryptor,34202,0.10,"2,278,000","34,170","2,312,170","2,488,000",120,"1,902,000","1,795,488",389.2,455,1.17,51.4,"118,898,198",-0.22,"-26,575,393","127,939,864","-35,617,059",Pass
Augmentation Decryptor,34203,0.10,"840,000","12,600","852,600","871,800",120,"825,000","778,800",1323.7,1559,1.18,174.2,"148,562,290",-0.09,"-12,880,277","151,907,816","-16,225,804",Pass
Optimized Attainment Decryptor,34207,0.10,"3,110,000","46,650","3,156,650","3,449,000",120,"4,500,000","4,248,000",153.3,7,0.05,102.5,"323,513,646",0.35,"111,836,217","353,475,540","81,874,323",Buy
Optimized Augmentation Decryptor,34208,0.10,"4,989,000","74,835","5,063,835","4,990,000",120,"5,850,000","5,522,400",133.2,57,0.43,29.1,"147,299,209",0.09,"13,335,463","145,151,462","15,483,210",Pass
Parity Decryptor,34204,0.10,"950,300","14,255","964,555","998,000",120,"1,080,000","1,019,520",1360.6,921,0.68,236.2,"227,873,916",0.06,"12,957,131","235,775,343","5,055,704",Pass
Symmetry Decryptor,34206,0.10,"388,000","5,820","393,820","401,700",120,"420,000","396,480",346,126,0.36,81.9,"32,257,344",0.01,"208,048","32,902,786","-437,393",Pass
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
