ItemName,ItemId,vol.,jita_buy,jita_buy_taxes,jita_buy_total,jita_sell,unit_delivery,ual_sell_taxed,ual_sell_taxed,ual_wkly_vol,ual_listed_vol,ual_mrkt_rate,ual_avg_daily,money_freeze_buy,freeze_rate,PROFIT_jitabuy,money_freeze_sell,PROFIT_jitasell,GoodToBuy(jitabuy)
Capital Asteroid Ore Compressor I,62632,"2,000","13,170,000","197,550","13,367,550","31,680,000",2400000,"39,790,000","37,561,760",28.2,43,1.52,3.3,"43,610,715",1.63,"71,102,116","103,353,828","11,359,003",Pass
Capital Ice Compressor I,62633,"2,000","73,140,000","1,097,100","74,237,100","81,930,000",2400000,"86,940,000","82,071,360",19.1,27,1.41,2.3,"170,369,217",0.07,"12,471,266","188,023,912","-5,183,429",Pass
Capital Moon Ore Compressor I,62636,"2,000","101,400,000","1,521,000","102,921,000","168,800,000",2400000,"173,400,000","163,689,600",19.1,41,2.15,1.9,"191,674,386",0.57,"108,702,457","314,363,796","-13,986,954",Pass
Medium Asteroid Ore Compressor I,62622,500,"7,355,000","110,325","7,465,325","9,075,000",600000,"9,819,000","9,269,136",61.1,57,0.93,9.0,"67,464,463",0.16,"10,878,892","82,011,165","-3,667,810",Pass
Drone Link Augmentor I,23527,25,"306,300","4,595","310,895","351,400",30000,"583,900","551,202",504,3632,7.21,26.8,"8,338,499",0.68,"5,640,645","9,424,897","4,554,247",Pass
Drone Navigation Computer I,24395,25,"415,100","6,227","421,327","479,000",30000,"675,000","637,200",131.4,839,6.39,7.4,"3,129,917",0.44,"1,380,802","3,558,357","952,362",Pass
Fighter Support Unit I,24283,"1,000","65,410,000","981,150","66,391,150","80,000,000",1200000,"64,980,000","61,341,120",58.1,68,1.17,7.7,"509,356,548",-0.09,"-47,950,573","613,764,392","-152,358,418",Pass
Drone Damage Amplifier II,4405,5,"956,600","14,349","970,949","1,018,000",6000,"1,068,000","1,008,192",2433.9,1523,0.63,439.5,"426,778,491",0.03,"13,732,792","447,459,654","-6,948,372",Pass
Drone Link Augmentor II,24427,25,"1,114,000","16,710","1,130,710","1,196,000",30000,"885,900","836,290",415.3,413,0.99,59.5,"67,269,944",-0.29,"-19,300,919","71,154,277","-23,185,252",Pass
Drone Navigation Computer II,24417,25,"1,022,000","15,330","1,037,330","1,086,000",30000,"1,231,000","1,162,064",248,749,3.02,20.4,"21,147,328",0.09,"1,931,276","22,139,530","939,075",Pass
Fighter Support Unit II,41415,"1,000","133,600,000","2,004,000","135,604,000","140,600,000",1200000,"139,800,000","131,971,200",102.9,164,1.59,11.6,"1,578,976,253",-0.04,"-56,273,240","1,637,149,798","-114,446,785",Pass
