ItemName,ItemId,vol.,jita_buy,jita_buy_taxes,jita_buy_total,jita_sell,unit_delivery,ual_sell_taxed,ual_sell_taxed,ual_wkly_vol,ual_listed_vol,ual_mrkt_rate,ual_avg_daily,money_freeze_buy,freeze_rate,PROFIT_jitabuy,money_freeze_sell,PROFIT_jitasell,GoodToBuy(jitabuy),GoodToBuy)jitasell)
Astero,33468,"2,500","86,460,000","1,296,900","87,756,900","92,340,000","3,000,000","114,100,000","107,710,400",75.1,54,0.72,12.7,"1,110,315,133",0.19,"214,498,548","1,168,301,289","156,512,392",Pass,
Hulk,22544,"3,750","191,000,000","2,865,000","193,865,000","207,500,000","4,500,000","199,700,000","188,516,800",258.8,204,0.79,41.6,"8,072,958,013",-0.05,"-410,100,354","8,640,748,912","-977,891,252",Pass,
Mackinaw,22548,"3,750","194,200,000","2,913,000","197,113,000","209,100,000","4,500,000","199,900,000","188,705,600",183.9,148,0.80,29.3,"5,772,433,839",-0.07,"-377,991,875","6,123,471,896","-729,029,932",Pass,
Covetor,17476,"3,750","29,270,000","439,050","29,709,050","36,990,000","4,500,000","39,960,000","37,722,240",87.5,81,0.93,13.0,"385,975,994",0.12,"45,642,893","480,569,121","-48,950,233",Pass,
Procurer,17480,"3,750","33,370,000","500,550","33,870,550","36,840,000","4,500,000","59,250,000","55,932,000",19.4,45,2.32,1.8,"61,634,027",0.52,"31,956,460","67,037,517","26,552,971",Pass,
Retriever,17478,"3,750","35,380,000","530,700","35,910,700","40,180,000","4,500,000","42,900,000","40,497,600",148.4,178,1.20,19.4,"695,131,039",0.00,"1,682,142","777,772,785","-80,959,604",Pass,
Retribution,11393,"2,500","23,410,000","351,150","23,761,150","25,010,000","3,000,000","26,190,000","24,723,360",120.9,101,0.84,18.9,"449,001,902",-0.09,"-38,507,041","472,600,760","-62,105,900",Pass,
Harpy,11381,"2,500","15,810,000","237,150","16,047,150","17,200,000","3,000,000","16,400,000","15,481,600",83.5,164,1.96,8.5,"136,586,464",-0.22,"-30,348,434","146,399,029","-40,160,999",Pass,
Hawk,11379,"2,500","23,380,000","350,700","23,730,700","25,680,000","3,000,000","25,800,000","24,355,200",45.3,34,0.75,7.5,"177,263,922",-0.10,"-17,744,544","191,824,831","-32,305,453",Pass,
Jaguar,11400,"2,500","19,610,000","294,150","19,904,150","21,830,000","3,000,000","18,630,000","17,586,720",37.6,35,0.93,5.6,"110,813,671",-0.27,"-29,604,074","121,535,581","-40,325,985",Pass,
Wolf,11371,"2,500","21,250,000","318,750","21,568,750","23,350,000","3,000,000","27,470,000","25,931,680",47.6,56,1.18,6.3,"135,220,754",0.06,"8,544,604","146,387,927","-2,622,569",Pass,
Anathema,11188,"2,500","18,540,000","278,100","18,818,100","19,690,000","3,000,000","21,890,000","20,664,160",45.3,47,1.04,6.4,"119,557,302",-0.06,"-7,331,343","125,096,757","-12,870,798",Pass,
Purifier,12038,"2,500","20,190,000","302,850","20,492,850","21,820,000","3,000,000","19,930,000","18,813,920",141.6,282,1.99,14.3,"293,747,816",-0.23,"-67,068,537","312,771,399","-86,092,119",Pass,
Buzzard,11192,"2,500","18,550,000","278,250","18,828,250","19,600,000","3,000,000","20,550,000","19,399,200",111.1,148,1.33,13.8,"258,911,981",-0.13,"-33,402,475","269,524,508","-44,015,002",Pass,
Manticore,12032,"2,500","20,470,000","307,050","20,777,050","21,540,000","3,000,000","24,360,000","22,995,840",51.3,42,0.82,8.1,"168,281,838",-0.04,"-6,327,340","174,461,283","-12,506,784",Pass,
Helios,11172,"2,500","16,640,000","249,600","16,889,600","18,080,000","3,000,000","20,400,000","19,257,600",34.3,19,0.55,6.6,"111,195,114",-0.04,"-4,160,863","119,032,284","-11,998,033",Pass,
Nemesis,11377,"2,500","16,980,000","254,700","17,234,700","18,940,000","3,000,000","17,000,000","16,048,000",18.2,76,4.18,1.3,"21,928,351",-0.24,"-5,326,894","24,098,068","-7,496,611",Pass,
Cheetah,11182,"2,500","17,100,000","256,500","17,356,500","18,900,000","3,000,000","19,800,000","18,691,200",34.1,29,0.85,5.3,"91,684,661",-0.10,"-8,796,846","99,838,106","-16,950,292",Pass,
Prospect,33697,"2,500","14,100,000","211,500","14,311,500","15,660,000","3,000,000","17,820,000","16,822,080",55.5,31,0.56,10.6,"151,825,857",-0.03,"-5,192,091","166,131,637","-19,497,871",Pass,
Malediction,11186,"2,500","18,760,000","281,400","19,041,400","20,170,000","3,000,000","20,990,000","19,814,560",100.1,36,0.36,23.8,"454,046,887",-0.12,"-53,099,550","480,958,632","-80,011,296",Pass,
Stiletto,11198,"2,500","16,500,000","247,500","16,747,500","16,940,000","3,000,000","19,200,000","18,124,800",81.7,73,0.89,12.3,"206,787,175",-0.10,"-20,036,038","209,164,040","-22,412,902",Pass,
Garmur,33816,"2,500","63,630,000","954,450","64,584,450","75,700,000","3,000,000","83,910,000","79,211,040",6.5,27,4.15,0.5,"29,425,109",0.18,"5,297,152","34,489,428","232,833",Pass,
Succubus,17924,"2,500","93,290,000","1,399,350","94,689,350","112,800,000","3,000,000","118,000,000","111,392,000",19.6,21,1.07,2.7,"256,140,088",0.14,"37,066,449","305,130,429","-11,923,891",Pass,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
