name,type_id,volume
Active Shielding Charge,0,0
Armor Energizing Charge,0,0
Armor Reinforcement Charge,0,0
Barrage L,0,0
Barrage M,0,0
Baryon Exotic Plasma M,0,0
Baryon Exotic Plasma S,0,0
Blood Radio L,0,0
Caldari Navy Antimatter Charge M,0,0
Caldari Navy Antimatter Charge L,0,0
Caldari Navy Inferno Cruise Missile,0,0
Caldari Navy Inferno Heavy Assault Missile,0,0
Caldari Navy Inferno Heavy Missile,0,0
Caldari Navy Inferno Light Missile,0,0
Caldari Navy Inferno Torpedo,0,0
Caldari Navy Iridium Charge L,0,0
Caldari Navy Iridium Charge M,0,0
Caldari Navy Iron Charge M,0,0
Caldari Navy Mjolnir Cruise Missile,0,0
Caldari Navy Mjolnir Heavy Missile,0,0
Caldari Navy Mjolnir Torpedo,0,0
Caldari Navy Scourge Heavy Missile,0,0
Caldari Navy Scourge Light Missile,0,0
Caldari Navy Nova Heavy Missile,0,0
Caldari Navy Nova Light Missile,0,0
Caldari Navy Nova Torpedo,0,0
Caldari Navy Nova Heavy Assault Missile,0,0
Caldari Navy Scourge Torpedo,0,0
Caldari Navy Thorium Charge M,0,0
Caldari Navy Thorium Charge L,0,0
Caldari Navy Nova Cruise Missile,0,0
Caldari Navy Scourge Cruise Missile,0,0
Uncommon Moon Mining Crystal Type B II,0,0
Uncommon Moon Mining Crystal Type B I,0,0
Uncommon Moon Mining Crystal Type A II,0,0
Rare Moon Mining Crystal Type B II,0,0
Complex Asteroid Mining Crystal Type A II,0,0
Complex Asteroid Mining Crystal Type B I,0,0
Complex Asteroid Mining Crystal Type B II,0,0
Complex Asteroid Mining Crystal Type C II,0,0
Common Moon Mining Crystal Type B I,0,0
Mercoxit Asteroid Mining Crystal Type A I,0,0
Mercoxit Asteroid Mining Crystal Type A II,0,0
Conflagration L,0,0
Conflagration XL,0,0
Electronic Hardening Charge,0,0
Electronic Superiority Charge,0,0
Sensor Optimization Charge,0,0
GalvaSurge Condenser Pack M,0,0
GalvaSurge Condenser Pack L,0,0
BlastShot Condenser Pack M,0,0
StrikeSnipe Ultra M,0,0
ElectroPunch Ultra M,0,0
Imperial Navy Gamma L,0,0
Imperial Navy Microwave L,0,0
Imperial Navy Multifrequency M,0,0
Imperial Navy Radio L,0,0
Imperial Navy Standard L,0,0
Imperial Navy Ultraviolet L,0,0
Imperial Navy Xray L,0,0
Inferno Fury Heavy Missile,0,0
Inferno Fury Cruise Missile,0,0
Inferno Precision Cruise Missile,0,0
Inferno Rage Heavy Assault Missile,0,0
Inferno Rage Torpedo,0,0
Javelin L,0,0
Meson Exotic Plasma M,0,0
Mining Equipment Preservation Charge,0,0
Mining Laser Field Enhancement Charge,0,0
Mining Laser Optimization Charge,0,0
Mjolnir Fury Cruise Missile,0,0
Mjolnir Javelin Heavy Assault Missile,0,0
Mjolnir Javelin Torpedo,0,0
Mjolnir Precision Cruise Missile,0,0
Mjolnir Rage Heavy Assault Missile,0,0
Nova Fury Light Missile,0,0
Nova Fury Cruise Missile,0,0
Nova Rage Torpedo,0,0
Null L,0,0
Null M,0,0
Occult S,0,0
Quake L,0,0
Quake M,0,0
ECCM Script,0,0
Rapid Repair Charge,0,0
Rapid Deployment Charge,0,0
Interdiction Maneuvers Charge,0,0
Evasive Maneuvers Charge,0,0
Republic Fleet Carbonized Lead L,0,0
Republic Fleet Carbonized Lead M,0,0
Republic Fleet Depleted Uranium M,0,0
Republic Fleet Fusion M,0,0
Republic Fleet Proton M,0,0
Republic Fleet EMP M,0,0
Republic Fleet Titanium Sabot M,0,0
